,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
133,2022-01-12,1004.9557416333521,882.687070364445,1106.6077018718215,1004.9557416333521,1004.9557416333521,-6.863497168421152,-6.863497168421152,-6.863497168421152,-6.863497168421152,-6.863497168421152,-6.863497168421152,0.0,0.0,0.0,998.0922444649309
134,2022-01-13,1003.9349074794138,871.6596338049405,1098.8324578186898,1003.9349074794138,1003.9349074794138,-15.316795300319765,-15.316795300319765,-15.316795300319765,-15.316795300319765,-15.316795300319765,-15.316795300319765,0.0,0.0,0.0,988.618112179094
135,2022-01-14,1002.9140733254753,862.1750873439439,1102.0592935874956,1002.9140733254753,1002.9140733254753,-19.723812365586507,-19.723812365586507,-19.723812365586507,-19.723812365586507,-19.723812365586507,-19.723812365586507,0.0,0.0,0.0,983.1902609598889
136,2022-01-18,998.8307365558486,884.3522995341925,1100.5809810788405,998.8307365558486,998.8307365558486,-8.939251645313613,-8.939251645313613,-8.939251645313613,-8.939251645313613,-8.939251645313613,-8.939251645313613,0.0,0.0,0.0,989.891484910535
137,2022-01-19,997.8099023634418,883.5459015074928,1105.622725272416,997.8099023634418,997.8099023634418,-6.863497168389128,-6.863497168389128,-6.863497168389128,-6.863497168389128,-6.863497168389128,-6.863497168389128,0.0,0.0,0.0,990.9464051950526
138,2022-01-20,996.7890681710352,863.1008169862403,1091.0054392202057,996.7890681710352,996.7890681710352,-15.316795300330476,-15.316795300330476,-15.316795300330476,-15.316795300330476,-15.316795300330476,-15.316795300330476,0.0,0.0,0.0,981.4722728707047
139,2022-01-21,995.7682339786284,864.4574644762287,1087.934839896234,995.7682339786284,995.7682339786284,-19.723812365569888,-19.723812365569888,-19.723812365569888,-19.723812365569888,-19.723812365569888,-19.723812365569888,0.0,0.0,0.0,976.0444216130585
140,2022-01-24,992.7057314014082,879.733204043594,1101.0392566964058,992.7057314014082,992.7057314014082,-3.6475952903421374,-3.6475952903421374,-3.6475952903421374,-3.6475952903421374,-3.6475952903421374,-3.6475952903421374,0.0,0.0,0.0,989.0581361110661
141,2022-01-25,991.6848972090015,872.0186326604519,1089.3594382546794,991.6848972090015,991.6848972090015,-8.939251645270614,-8.939251645270614,-8.939251645270614,-8.939251645270614,-8.939251645270614,-8.939251645270614,0.0,0.0,0.0,982.7456455637309
142,2022-01-26,990.6640630165948,868.118105385182,1093.2215444314163,990.6640630165948,990.6640630165948,-6.863497168397383,-6.863497168397383,-6.863497168397383,-6.863497168397383,-6.863497168397383,-6.863497168397383,0.0,0.0,0.0,983.8005658481974
143,2022-01-27,989.6432288241881,861.6212770555659,1083.3728547633425,989.6432288241881,989.6432288241881,-15.316795300348986,-15.316795300348986,-15.316795300348986,-15.316795300348986,-15.316795300348986,-15.316795300348986,0.0,0.0,0.0,974.3264335238391
144,2022-01-28,988.6223946263347,861.7970295198603,1086.6788029317552,988.6223946263347,988.6223946263347,-19.723812365546944,-19.723812365546944,-19.723812365546944,-19.723812365546944,-19.723812365546944,-19.723812365546944,0.0,0.0,0.0,968.8985822607877
145,2022-01-31,985.5598920327741,868.8216080855202,1093.3389940112813,985.5598920327741,985.5598920327741,-3.647595290369646,-3.647595290369646,-3.647595290369646,-3.647595290369646,-3.647595290369646,-3.647595290369646,0.0,0.0,0.0,981.9122967424045
146,2022-02-01,984.5390578349205,863.6859022293963,1087.09338552949,984.5390578349205,984.5390578349205,-8.939251645285454,-8.939251645285454,-8.939251645285454,-8.939251645285454,-8.939251645285454,-8.939251645285454,0.0,0.0,0.0,975.599806189635
147,2022-02-02,983.5182236370671,861.1654208542586,1084.1607035076963,983.5182236370671,983.5182236370671,-6.863497168385256,-6.863497168385256,-6.863497168385256,-6.863497168385256,-6.863497168385256,-6.863497168385256,0.0,0.0,0.0,976.6547264686818
148,2022-02-03,982.4973894392135,857.4786587587804,1071.3236120367121,982.4973894392135,982.4973894392135,-15.316795300351895,-15.316795300351895,-15.316795300351895,-15.316795300351895,-15.316795300351895,-15.316795300351895,0.0,0.0,0.0,967.1805941388616
149,2022-02-04,981.47655524136,843.8328570864093,1076.6752395305239,981.47655524136,981.47655524136,-19.723812365642438,-19.723812365642438,-19.723812365642438,-19.723812365642438,-19.723812365642438,-19.723812365642438,0.0,0.0,0.0,961.7527428757176
150,2022-02-07,978.4140526477994,862.1918460055821,1082.92450677515,978.4140526477994,978.4140526477994,-3.647595290365422,-3.647595290365422,-3.647595290365422,-3.647595290365422,-3.647595290365422,-3.647595290365422,0.0,0.0,0.0,974.766457357434
151,2022-02-08,977.393218449946,859.9976492811877,1075.3643365294724,977.393218449946,977.393218449946,-8.939251645271375,-8.939251645271375,-8.939251645271375,-8.939251645271375,-8.939251645271375,-8.939251645271375,0.0,0.0,0.0,968.4539668046746
152,2022-02-09,976.3723842566213,862.8913651465535,1076.8169447254497,976.3723842566213,976.3723842566213,-6.863497168373132,-6.863497168373132,-6.863497168373132,-6.863497168373132,-6.863497168373132,-6.863497168373132,0.0,0.0,0.0,969.5088870882482
153,2022-02-10,975.3515500632968,851.6048785089909,1071.3861524775339,975.3515500632968,975.3515500632968,-15.31679530030164,-15.31679530030164,-15.31679530030164,-15.31679530030164,-15.31679530030164,-15.31679530030164,0.0,0.0,0.0,960.0347547629951
154,2022-02-11,974.3307158699721,848.4048897705627,1070.9565386102304,974.3307158699721,974.3307158699721,-19.723812365619487,-19.723812365619487,-19.723812365619487,-19.723812365619487,-19.723812365619487,-19.723812365619487,0.0,0.0,0.0,954.6069035043527
155,2022-02-14,971.2682132899985,854.1148254367902,1083.0364120803354,971.2682132899985,971.2682132899985,-3.6475952903929305,-3.6475952903929305,-3.6475952903929305,-3.6475952903929305,-3.6475952903929305,-3.6475952903929305,0.0,0.0,0.0,967.6206179996055
156,2022-02-15,970.2473790966739,838.9003725187342,1068.6886700678053,970.2473790966739,970.2473790966739,-8.939251645298581,-8.939251645298581,-8.939251645298581,-8.939251645298581,-8.939251645298581,-8.939251645298581,0.0,0.0,0.0,961.3081274513753
157,2022-02-16,969.2265449033493,851.6054467822003,1074.238396704044,969.2265449033493,969.2265449033493,-6.863497168401757,-6.863497168401757,-6.863497168401757,-6.863497168401757,-6.863497168401757,-6.863497168401757,0.0,0.0,0.0,962.3630477349476
158,2022-02-17,968.2057107100246,841.1514918488017,1064.129330551868,968.2057107100246,968.2057107100246,-15.316795300304552,-15.316795300304552,-15.316795300304552,-15.316795300304552,-15.316795300304552,-15.316795300304552,0.0,0.0,0.0,952.8889154097201
159,2022-02-18,967.1848765167001,835.219480662767,1058.1391391070702,967.1848765167001,967.1848765167001,-19.723812365602868,-19.723812365602868,-19.723812365602868,-19.723812365602868,-19.723812365602868,-19.723812365602868,0.0,0.0,0.0,947.4610641510973
160,2022-02-22,963.101539612386,844.9911898800339,1063.2972512567683,963.101539612386,963.101539612386,-8.9392516452845,-8.9392516452845,-8.9392516452845,-8.9392516452845,-8.9392516452845,-8.9392516452845,0.0,0.0,0.0,954.1622879671015
161,2022-02-23,962.0807053863073,839.8030202042657,1065.768222950183,962.0807053863073,962.0807053863073,-6.8634971683896335,-6.8634971683896335,-6.8634971683896335,-6.8634971683896335,-6.8634971683896335,-6.8634971683896335,0.0,0.0,0.0,955.2172082179177
